mp-id,Formula,Space Group,Stable,Energy Above Hull (eV/atom),Experimentally Observed,Predicted Tc (K),Predicted Tc Std. Dev. (K),Closest Known Superconductor,Closest Superconductor Distance,Log Probability of Superconductivity
mp-10188,Fe3S4,"['R3m', 'Trigonal']",False,0.3715416264285682,True,24.33803367614746,9.48563289642334,Fe2S2,0.1428571428571428,-0.0003667397249955
mp-771325,Dy2Cu2O5,"['Pna2_1', 'Orthorhombic']",False,0.0463286288888884,False,52.40498733520508,2.343756675720215,Cu4O8,0.4444444444444443,-0.0003794903750531
mp-1220810,Nb10(SnGe)3,"['Fmm2', 'Orthorhombic']",False,0.0040763971875001,False,2.6061291694641118,0.5738143920898438,GeNb2,0.3749999999999999,-0.0003825886233244
mp-1213556,ErGa6,"['P4/mmm', 'Tetragonal']",False,1.9013233982142856,False,2.4761433601379395,1.0738890171051023,Ga2,0.2857142857142857,-0.0003883084573317
mp-1080183,La(PRh)2,"['P4/nmm', 'Tetragonal']",True,0.0,True,3.028903722763061,0.907318651676178,LaRhP,0.2666666666666667,-0.0003941474424209
mp-758791,Li5Mn5O12,"['P1', 'Triclinic']",False,0.0729105312878575,False,36.56095123291016,3.393330812454224,O7,0.9090909090909092,-0.0004036803729832
mp-530274,Al23B50,"['P-1', 'Triclinic']",True,0.0,False,14.165250778198242,16.730958938598633,AlB2,0.0365296803652968,-0.0004142856632824
mp-734854,K3VO5,"['Pbca', 'Orthorhombic']",False,0.1429212508796364,True,5.014499187469482,1.4518376588821411,KO3,0.3888888888888888,-0.0004527735873125
mp-1222266,Lu3S4,"['I4/mmm', 'Tetragonal']",True,0.0,False,3.636202812194824,1.672784447669983,LuS,0.1428571428571428,-0.000483038573293
mp-1006321,Ce(CuSb)2,"['P4/nmm', 'Tetragonal']",False,0.1287941780000041,True,0.810036301612854,0.5307895541191101,Cu2Sb,0.5333333333333333,-0.0004891153075732
mp-1102532,NbGeRh,"['Pnma', 'Orthorhombic']",True,0.0,True,1.4649608135223389,1.068986892700195,NbGe2,0.6666666666666666,-0.0005775213940069
mp-1079796,Ti3Pd,"['Pm-3n', 'Cubic']",True,0.0,False,4.241472244262695,1.121126413345337,Ti,0.5,-0.0005776405450887
mp-1210708,Mo21S8,"['I4/m', 'Tetragonal']",False,0.2770157865517237,False,3.299941062927246,0.7087826132774353,Mo6S6,0.4482758620689655,-0.0006336349761113
mp-1218331,Sr3CaSi8,"['R32', 'Trigonal']",False,0.0169172045833327,False,1.8776272535324097,0.1662303805351257,Sr(Si)2,0.1666666666666666,-0.0006618693005293
mp-1120756,NaVF3,"['Pnma', 'Orthorhombic']",True,0.0,False,23.113788604736328,6.733818531036377,F,0.8,-0.0006746161961928
mp-758700,LiMn2O4,"['P1', 'Triclinic']",False,0.0590889659523732,False,36.88420867919922,2.6291229724884038,O7,0.8571428571428572,-0.0007507366244681
mp-754130,LiMn4O8,"['R-3m', 'Trigonal']",False,0.079008112019232,False,42.95222473144531,3.728233575820923,O7,0.7692307692307692,-0.0007932615117169
mp-1097902,Li3Mn4O8,"['P2_1', 'Monoclinic']",False,0.1003698423333405,False,36.73487091064453,1.876567006111145,O7,0.9333333333333332,-0.0008126770262606
mp-775539,K11Mn4O16,"['I-42m', 'Tetragonal']",True,0.0,False,5.051515102386475,1.1181602478027344,KMnO4,0.3763440860215054,-0.0008395960903726
mp-1224780,Fe3Ni,"['Cmmm', 'Orthorhombic']",False,0.0395973974999996,False,19.55170440673828,4.887052536010742,Fe2,0.5,-0.0008445986895821
mp-1080030,BC7,"['P3m1', 'Trigonal']",False,0.2504529562760407,False,7.66558027267456,4.271694183349609,BC6,0.0357142857142857,-0.0008613928221166
mp-1079661,BC7,"['R3m', 'Trigonal']",False,0.2456618575260414,False,7.637153625488281,4.249405860900879,BC6,0.0357142857142857,-0.0008722314960323
